model,params,query_id,query,query_type,precision_at_k,recall_at_k,root_cause_accuracy,completeness,latency_s
Gemma2-9B,9B,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,0.769,0.8264,0.3952,0.7771,2.36
Gemma2-9B,9B,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,0.8819,0.924,0.0882,0.6,2.6
Gemma2-9B,9B,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,1.0,0.7231,0.4043,0.633,2.57
Gemma2-9B,9B,Q055,What is the root cause of the failure affecting UE40?,root_cause,0.839,0.6193,0.1854,0.742,2.17
Gemma2-9B,9B,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,0.7921,0.7867,0.249,0.6402,1.59
Gemma2-9B,9B,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,0.5479,0.7927,0.0759,0.5288,1.91
Gemma2-9B,9B,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,0.8328,0.7365,0.4817,0.7981,2.21
Gemma2-9B,9B,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,0.6535,0.8445,0.2663,0.7038,1.68
Gemma2-9B,9B,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,0.839,0.9512,0.5582,0.7579,2.79
Gemma2-9B,9B,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,0.7103,0.6988,0.2737,0.5254,1.9
Gemma2-9B,9B,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,0.7116,0.4573,0.3751,0.6524,1.49
Gemma2-9B,9B,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,0.5637,0.7114,0.3095,0.6689,1.97
Gemma2-9B,9B,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,0.7398,0.7596,0.4712,0.5894,2.62
Gemma2-9B,9B,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,0.725,0.8771,0.4274,0.6527,2.88
Llama-3.1-8B,8B,Q001,What is the root cause of the failure affecting UE7?,root_cause,0.8698,1.0,0.2753,0.5425,1.74
Llama-3.1-8B,8B,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,0.6637,0.8934,0.2264,0.596,1.66
Llama-3.1-8B,8B,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,0.6466,0.6126,0.3331,0.499,2.51
Llama-3.1-8B,8B,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,0.9333,0.7652,0.1264,0.5226,1.77
Llama-3.1-8B,8B,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,0.9266,0.8536,0.1737,0.5801,2.06
Llama-3.1-8B,8B,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,0.9544,0.7244,0.4291,0.7963,2.21
Llama-3.1-8B,8B,Q007,What is the root cause of the failure affecting UE1?,root_cause,0.812,0.8472,0.3489,0.7364,1.5
Llama-3.1-8B,8B,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,1.0,0.6164,0.2228,0.6494,1.42
Llama-3.1-8B,8B,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,0.8923,0.5118,0.1139,0.4984,1.33
Llama-3.1-8B,8B,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,0.8306,0.6286,0.0874,0.6359,2.06
Llama-3.1-8B,8B,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,0.9992,0.7259,0.1685,0.5223,2.03
Llama-3.1-8B,8B,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,1.0,0.9003,0.4632,0.592,1.85
Llama-3.1-8B,8B,Q013,What is the root cause of the failure affecting UE11?,root_cause,0.8689,0.6268,0.0331,0.6828,2.41
Llama-3.1-8B,8B,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,0.7145,0.8633,0.154,0.7524,2.21
Llama-3.1-8B,8B,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,0.4353,0.4528,0.2361,0.408,2.48
Llama-3.1-8B,8B,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,0.7556,0.7098,0.273,0.4331,1.46
Llama-3.1-8B,8B,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,0.6158,0.6525,0.1582,0.5937,2.37
Llama-3.1-8B,8B,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,0.7634,0.6881,0.2228,0.8721,2.08
Llama-3.1-8B,8B,Q019,What is the root cause of the failure affecting UE22?,root_cause,0.8284,0.7842,0.5427,0.5679,1.99
Llama-3.1-8B,8B,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,0.6521,0.6154,0.2321,0.532,1.46
Llama-3.1-8B,8B,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,0.5698,0.6568,0.2204,0.4333,2.01
Llama-3.1-8B,8B,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,0.8322,0.841,0.3901,0.5661,1.94
Llama-3.1-8B,8B,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,0.8238,0.6409,0.2407,0.6823,1.63
Llama-3.1-8B,8B,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,0.9268,0.8289,0.5285,0.5883,1.36
Llama-3.1-8B,8B,Q025,What is the root cause of the failure affecting UE5?,root_cause,0.9262,0.7629,0.2588,0.5433,2.05
Llama-3.1-8B,8B,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,0.8587,0.7907,0.2863,0.6056,1.42
Llama-3.1-8B,8B,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,0.7028,0.4929,0.1996,0.4493,1.91
Llama-3.1-8B,8B,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,0.8768,0.7419,0.2386,0.788,2.28
Llama-3.1-8B,8B,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,0.756,0.8209,0.2441,0.5231,2.07
Llama-3.1-8B,8B,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,0.8815,0.821,0.3994,0.7238,1.74
Llama-3.1-8B,8B,Q031,What is the root cause of the failure affecting UE3?,root_cause,0.7841,0.5686,0.3011,0.7167,1.7
Llama-3.1-8B,8B,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,0.836,0.8803,0.3146,0.7076,2.25
Llama-3.1-8B,8B,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,0.505,0.7745,0.2171,0.5402,2.02
Llama-3.1-8B,8B,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,0.8665,0.5876,0.1171,0.6389,1.34
Llama-3.1-8B,8B,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,0.945,0.789,0.0879,0.6252,2.1
Llama-3.1-8B,8B,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,0.9232,0.7487,0.2594,0.6709,1.51
Llama-3.1-8B,8B,Q037,What is the root cause of the failure affecting UE31?,root_cause,0.7609,0.7131,0.2966,0.4016,1.87
Llama-3.1-8B,8B,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,0.9154,0.6866,0.2661,0.5144,1.34
Llama-3.1-8B,8B,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,0.6616,0.5016,0.3267,0.5062,1.96
Llama-3.1-8B,8B,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,0.8287,0.581,0.2171,0.6252,2.45
Llama-3.1-8B,8B,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,0.7656,0.8183,0.0773,0.6242,1.71
Llama-3.1-8B,8B,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,1.0,0.6056,0.4351,0.8239,1.78
Llama-3.1-8B,8B,Q043,What is the root cause of the failure affecting UE9?,root_cause,0.5611,0.6924,0.2766,0.6571,2.18
Llama-3.1-8B,8B,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,0.7242,0.5523,0.2267,0.5959,1.49
Llama-3.1-8B,8B,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,0.7086,0.6968,0.0511,0.716,2.42
Llama-3.1-8B,8B,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,0.7946,0.6888,0.3986,0.5607,2.51
Llama-3.1-8B,8B,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,0.8598,0.6897,0.2075,0.6646,1.76
Llama-3.1-8B,8B,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,0.9645,0.8305,0.3606,0.6607,1.68
Llama-3.1-8B,8B,Q049,What is the root cause of the failure affecting UE2?,root_cause,0.7594,0.9039,0.4009,0.6381,2.27
Llama-3.1-8B,8B,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,0.7364,0.7747,0.4099,0.4256,1.77
Llama-3.1-8B,8B,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,0.6645,0.5831,0.2566,0.4208,1.76
Llama-3.1-8B,8B,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,0.7567,0.5989,0.2414,0.7898,1.79
Llama-3.1-8B,8B,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,0.9206,0.5374,0.1294,0.6364,1.85
Llama-3.1-8B,8B,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,1.0,1.0,0.381,0.637,1.29
Llama-3.1-8B,8B,Q055,What is the root cause of the failure affecting UE40?,root_cause,0.9264,0.6593,0.0792,0.6509,2.14
Llama-3.1-8B,8B,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,0.9428,0.7624,0.3423,0.7387,1.88
Llama-3.1-8B,8B,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,0.6118,0.5151,0.4175,0.3659,1.91
Llama-3.1-8B,8B,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,0.6372,0.7244,0.337,0.6245,1.48
Llama-3.1-8B,8B,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,0.7273,0.7212,0.3612,0.7942,1.77
Llama-3.1-8B,8B,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,1.0,0.8429,0.3297,0.7974,2.38
Llama-3.1-8B,8B,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,0.7686,0.6255,0.3889,0.4539,2.41
Llama-3.1-8B,8B,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,0.5289,0.614,0.1164,0.4369,1.57
Llama-3.1-8B,8B,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,0.6992,0.3806,0.0338,0.6495,2.04
Llama-3.1-8B,8B,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,0.8188,0.5857,0.1847,0.536,1.76
Llama-3.1-8B,8B,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,0.939,0.8581,0.2518,0.699,1.97
