config,query_id,query,query_type,difficulty,scenario_id,precision_at_k,recall_at_k,mrr,root_cause_accuracy,confidence,iterations,latency_s
Hybrid,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.4409,0.177,0.4919,0.0,0.3794,1,3.91
Hybrid,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.7735,0.6641,0.7786,0.3438,0.5659,1,2.67
Hybrid,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.7035,0.4453,0.945,0.4707,0.5886,1,3.14
Hybrid,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,0.882,0.6174,0.9063,0.3676,0.6879,1,2.62
Hybrid,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.5498,0.5771,0.9777,0.4237,0.5659,1,2.8
Hybrid,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.7965,0.674,0.6412,0.6156,0.6263,1,4.28
Hybrid,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.6341,0.5709,0.6947,0.1893,0.568,1,3.4
Hybrid,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.6925,0.6686,1.0,0.2866,0.6163,1,2.58
Hybrid,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.6102,0.5505,0.6988,0.3966,0.637,1,3.83
Hybrid,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.7955,1.0,0.8882,0.2631,0.7424,1,4.54
Hybrid,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.6995,0.6397,0.8178,0.1911,0.5863,1,4.27
Hybrid,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,0.4737,0.7765,0.8669,0.0493,0.5444,1,3.23
Hybrid,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.5375,0.6351,0.7803,0.1928,0.5525,1,4.34
Hybrid,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.6585,0.3513,0.6367,0.4558,0.6147,1,2.89
Hybrid,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.9166,0.8413,0.6575,0.417,0.6351,1,2.83
Hybrid,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.9156,0.8047,0.8619,0.1673,0.6902,1,4.28
Hybrid,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.8051,0.1766,0.8901,0.0942,0.5794,1,4.49
Hybrid,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.5528,0.7569,0.5808,0.4925,0.557,1,2.72
Hybrid,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.4984,0.5462,0.5634,0.0686,0.5472,1,3.35
Hybrid,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.5929,0.7072,0.5261,0.2097,0.6368,1,2.8
Hybrid,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.6577,0.95,0.7936,0.4013,0.67,1,2.88
Hybrid,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.9125,0.7032,0.8269,0.4167,0.6488,1,4.42
Hybrid,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.5807,0.4442,0.5426,0.0,0.542,1,3.4
Hybrid,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.5251,0.1291,0.9286,0.1312,0.5086,1,2.51
Hybrid,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.6348,0.2946,0.6147,0.1132,0.4419,1,4.27
Hybrid,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.8896,0.6664,0.5552,0.3521,0.7332,1,3.75
Hybrid,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.623,0.7349,0.8142,0.5098,0.6445,1,3.28
Hybrid+Rerank,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.6817,0.6261,0.8767,0.5024,0.6319,1,7.02
Hybrid+Rerank,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,1.0,0.7979,0.8366,0.5215,0.7184,1,7.11
Hybrid+Rerank,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.4597,0.6526,0.7061,0.4568,0.5019,1,4.63
Hybrid+Rerank,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.7623,0.7151,0.7164,0.1323,0.7427,1,5.6
Hybrid+Rerank,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.7254,0.528,0.8236,0.1519,0.6109,1,4.46
Hybrid+Rerank,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,1.0,1.0,0.9612,0.7736,0.803,1,6.07
Hybrid+Rerank,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.775,0.668,0.845,0.1769,0.555,1,5.64
Hybrid+Rerank,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.9486,1.0,0.9994,0.4558,0.6827,1,7.64
Hybrid+Rerank,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.6969,0.524,0.6818,0.2481,0.5508,1,4.57
Hybrid+Rerank,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.589,0.7,0.7271,0.1702,0.6578,1,5.32
Hybrid+Rerank,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.9807,0.9329,0.9313,0.2786,0.5518,1,4.64
Hybrid+Rerank,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,1.0,0.7494,1.0,0.2213,0.708,1,6.24
Hybrid+Rerank,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.8485,0.9125,0.8395,0.2718,0.6508,1,6.48
Hybrid+Rerank,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.8459,0.8097,0.8659,0.367,0.6049,1,6.4
Hybrid+Rerank,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.524,0.7091,0.6125,0.221,0.5627,1,5.05
Hybrid+Rerank,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.7001,0.8311,0.7965,0.5412,0.6066,1,6.45
Hybrid+Rerank,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.8538,1.0,0.7302,0.4421,0.6029,1,7.31
Hybrid+Rerank,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,0.9927,0.8601,1.0,0.4035,0.8019,1,5.04
Hybrid+Rerank,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,1.0,0.9207,0.6785,0.4215,0.6469,1,4.69
Hybrid+Rerank,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.7404,0.9544,1.0,0.267,0.6811,1,5.19
Hybrid+Rerank,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.7852,0.4121,0.5715,0.1939,0.5057,1,6.07
Hybrid+Rerank,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.8087,0.5076,0.8591,0.4861,0.5274,1,5.4
Hybrid+Rerank,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.8646,0.8247,1.0,0.3221,0.7506,1,4.42
Hybrid+Rerank,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,1.0,0.8872,1.0,0.285,0.7542,1,4.55
Hybrid+Rerank,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.6508,0.937,0.8163,0.5475,0.5741,1,7.06
Hybrid+Rerank,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,0.7075,0.6962,0.9823,0.3715,0.7862,1,4.52
Hybrid+Rerank,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.6444,0.4878,0.6788,0.3506,0.5525,1,6.75
Hybrid+Rerank,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.6924,0.5373,0.6424,0.4267,0.5808,1,6.36
Hybrid+Rerank,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.5766,0.8434,0.8571,0.3779,0.6469,1,7.27
Hybrid+Rerank,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,1.0,0.8641,1.0,0.382,0.7601,1,7.04
Hybrid+Rerank,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.8487,0.6611,0.8234,0.178,0.6258,1,6.7
Hybrid+Rerank,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.8352,0.7368,0.9696,0.433,0.6455,1,6.38
Hybrid+Rerank,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.6928,0.4715,0.6956,0.0,0.5214,1,4.73
Hybrid+Rerank,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.7125,0.6883,0.8317,0.4316,0.6428,1,5.32
Hybrid+Rerank,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.8775,0.3517,0.8833,0.4069,0.5994,1,4.98
Hybrid+Rerank,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,1.0,1.0,1.0,0.6563,0.753,1,7.74
Hybrid+Rerank,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.7736,0.6536,0.8059,0.2984,0.6046,1,4.56
Hybrid+Rerank,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.7877,0.7605,0.8771,0.3565,0.6732,1,5.3
Hybrid+Rerank,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.7353,0.6233,0.8715,0.1195,0.5051,1,7.39
Hybrid+Rerank,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.6262,0.6833,0.709,0.0656,0.6795,1,6.97
Hybrid+Rerank,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.9085,0.7291,0.8366,0.3054,0.6461,1,5.14
Hybrid+Rerank,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,0.9515,0.9289,0.8822,0.4511,0.7431,1,4.6
Hybrid+Rerank,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.878,0.4693,1.0,0.1796,0.6446,1,5.37
Hybrid+Rerank,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.8123,0.9639,0.7238,0.1095,0.7353,1,7.41
Hybrid+Rerank,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.5757,0.7082,0.5305,0.0212,0.4932,1,7.23
Hybrid+Rerank,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,1.0,0.633,0.9002,0.4191,0.7251,1,4.44
Hybrid+Rerank,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,1.0,0.5757,0.8603,0.3867,0.7503,1,6.65
Hybrid+Rerank,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.9722,0.9016,0.8953,0.2749,0.8161,1,6.58
Hybrid+Rerank,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.7371,0.6684,0.8034,0.3955,0.6045,1,6.95
Hybrid+Rerank,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,0.9455,0.6381,0.7188,0.5999,0.6276,1,6.41
Hybrid+Rerank,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.571,0.6421,0.7651,0.1773,0.5199,1,7.69
Hybrid+Rerank,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.7086,0.8355,0.8317,0.3911,0.7387,1,7.12
Hybrid+Rerank,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.8799,0.6203,0.8899,0.4492,0.6344,1,5.01
Hybrid+Rerank,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.8947,0.6176,1.0,0.2484,0.7308,1,7.39
Hybrid+Rerank,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.7804,0.551,0.9383,0.4023,0.663,1,7.25
Hybrid+Rerank,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.8129,0.7753,0.8361,0.6056,0.6765,1,7.0
Hybrid+Rerank,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.6834,0.4203,0.6929,0.3264,0.5194,1,7.57
Hybrid+Rerank,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.8276,0.627,0.7731,0.4495,0.7213,1,6.84
Hybrid+Rerank,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.8244,1.0,0.9615,0.0665,0.6517,1,6.23
Hybrid+Rerank,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,1.0,0.9275,1.0,0.5304,0.7357,1,4.23
Hybrid+Rerank,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.43,0.6518,0.5289,0.4542,0.4922,1,4.93
Hybrid+Rerank,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.76,0.5945,0.502,0.3507,0.5894,1,6.2
Hybrid+Rerank,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.5001,0.351,0.511,0.1915,0.4684,1,7.36
Hybrid+Rerank,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.9289,0.6352,0.8135,0.511,0.5619,1,6.7
Hybrid+Rerank,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.5113,0.832,0.7197,0.3618,0.5969,1,5.93
Hybrid+Iter,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.563,0.7136,0.9179,0.6649,0.7623,2,6.62
Hybrid+Iter,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.8595,0.8091,0.6388,0.234,0.6178,1,2.52
Hybrid+Iter,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.5794,0.6622,0.539,0.5114,0.4145,2,5.38
Hybrid+Iter,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.5908,0.6601,0.664,0.5878,0.6622,3,10.58
Hybrid+Iter,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.5012,0.959,0.8799,0.4307,0.6021,3,7.81
Hybrid+Iter,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.679,1.0,1.0,0.3249,0.6323,2,4.01
Hybrid+Iter,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.673,0.4323,0.7472,0.327,0.5854,3,10.12
Hybrid+Iter,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.4222,0.771,0.6414,0.1423,0.4169,1,2.1
Hybrid+Iter,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.4665,0.7798,0.7592,0.1908,0.4522,2,4.37
Hybrid+Iter,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.6941,0.7823,0.8528,0.3363,0.6037,2,4.75
Hybrid+Iter,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.6257,0.7449,0.8369,0.2177,0.7225,1,2.78
Hybrid+Iter,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,0.7864,0.481,0.9871,0.5308,0.691,1,3.08
Hybrid+Iter,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6615,0.7613,0.4832,0.2647,0.6736,1,2.91
Hybrid+Iter,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.4753,0.7642,0.711,0.0749,0.6995,1,2.21
Hybrid+Iter,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.3562,0.4079,0.5547,0.4405,0.4233,3,9.52
Hybrid+Iter,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.6306,0.6974,0.6296,0.2141,0.624,2,5.55
Hybrid+Iter,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.7291,0.8222,0.3782,0.1927,0.6613,1,2.82
Hybrid+Iter,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,1.0,0.8037,1.0,0.3253,0.6548,1,2.51
Hybrid+Iter,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.6701,0.921,0.7472,0.3099,0.5976,3,9.77
Hybrid+Iter,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,medium,S04,0.4271,0.8242,0.7051,0.302,0.8415,1,3.06
Hybrid+Iter,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,hard,S04,0.4043,0.69,0.5425,0.0279,0.5587,2,6.05
Hybrid+Iter,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,medium,S04,0.5168,0.6076,0.8603,0.3492,0.6777,1,3.13
Hybrid+Iter,Q023,What was the impact of the pdu session establishment rejection on user equipment and network services?,impact_analysis,medium,S04,0.5606,0.8403,0.6621,0.2768,0.5511,2,5.99
Hybrid+Iter,Q024,What does error code SMF_QOS_FLOW_ERR_104 indicate and what caused it?,error_code,easy,S04,0.8947,0.8335,1.0,0.408,0.7424,3,9.25
Hybrid+Iter,Q025,What is the root cause of the failure affecting UE5?,root_cause,medium,S05,0.4853,0.7487,0.6758,0.4944,0.7011,3,10.37
Hybrid+Iter,Q026,What error occurred in the RLC module and what were its downstream effects?,failure_tracing,medium,S05,1.0,0.725,0.6666,0.4314,0.5973,3,8.61
Hybrid+Iter,Q027,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the rlc max retransmission causing drb failure.,multi_hop,hard,S05,0.3138,0.6887,0.711,0.2332,0.3459,2,6.7
Hybrid+Iter,Q028,What events occurred during the rlc max retransmission causing drb failure incident and in what order?,temporal,medium,S05,0.5262,0.5281,0.6103,0.4744,0.6563,1,2.36
Hybrid+Iter,Q029,What was the impact of the rlc max retransmission causing drb failure on user equipment and network services?,impact_analysis,medium,S05,0.5999,0.5592,0.9352,0.293,0.7032,2,6.75
Hybrid+Iter,Q030,What does error code MAC_HARQ_NACK_MAX_067 indicate and what caused it?,error_code,easy,S05,1.0,0.8882,0.8599,0.2838,0.7334,2,5.01
Hybrid+Iter,Q031,What is the root cause of the failure affecting UE3?,root_cause,medium,S06,0.5785,0.716,0.7417,0.3015,0.6591,2,6.08
Hybrid+Iter,Q032,What error occurred in the GTP-U module and what were its downstream effects?,failure_tracing,medium,S06,0.5969,0.7152,0.9875,0.1836,0.5706,1,2.47
Hybrid+Iter,Q033,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the gtp-u path failure on backhaul.,multi_hop,hard,S06,0.551,0.5505,0.5757,0.35,0.5388,2,6.97
Hybrid+Iter,Q034,What events occurred during the gtp-u path failure on backhaul incident and in what order?,temporal,medium,S06,0.7941,0.7689,0.947,0.3391,0.5498,2,6.82
Hybrid+Iter,Q035,What was the impact of the gtp-u path failure on backhaul on user equipment and network services?,impact_analysis,medium,S06,0.3221,0.814,0.6341,0.3081,0.6412,2,6.8
Hybrid+Iter,Q036,What does error code GTPU_PATH_FAIL_037 indicate and what caused it?,error_code,easy,S06,0.8584,0.9039,0.827,0.5369,0.7538,1,3.58
Hybrid+Iter,Q037,What is the root cause of the failure affecting UE31?,root_cause,medium,S07,0.5051,0.8434,0.627,0.4674,0.6437,1,2.37
Hybrid+Iter,Q038,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S07,0.9578,0.6942,0.6736,0.5023,0.5049,2,4.93
Hybrid+Iter,Q039,Trace the complete chain of events from core_nw_amf.log to core_nw_amf.log that led to the 5g-aka authentication failure.,multi_hop,hard,S07,0.619,0.7709,0.512,0.2495,0.4993,1,3.36
Hybrid+Iter,Q040,What events occurred during the 5g-aka authentication failure incident and in what order?,temporal,medium,S07,0.8023,0.5385,0.7144,0.5181,0.6531,3,8.76
Hybrid+Iter,Q041,What was the impact of the 5g-aka authentication failure on user equipment and network services?,impact_analysis,medium,S07,0.2393,0.7896,0.6174,0.0213,0.6538,3,8.11
Hybrid+Iter,Q042,What does error code AMF_AUTH_FAIL_094 indicate and what caused it?,error_code,easy,S07,1.0,1.0,1.0,0.6933,0.7626,2,5.64
Hybrid+Iter,Q043,What is the root cause of the failure affecting UE9?,root_cause,medium,S08,0.6126,0.5656,1.0,0.3176,0.6266,3,8.43
Hybrid+Iter,Q044,What error occurred in the MAC module and what were its downstream effects?,failure_tracing,medium,S08,0.757,0.6073,0.7432,0.2379,0.5256,2,4.07
Hybrid+Iter,Q045,Trace the complete chain of events from ran_cell.log to ran_cell.log that led to the dl scheduler starvation under load.,multi_hop,hard,S08,0.4038,0.4249,0.3297,0.246,0.3891,2,5.66
Hybrid+Iter,Q046,What events occurred during the dl scheduler starvation under load incident and in what order?,temporal,medium,S08,0.7396,0.6275,0.5757,0.4075,0.7118,2,4.91
Hybrid+Iter,Q047,What was the impact of the dl scheduler starvation under load on user equipment and network services?,impact_analysis,medium,S08,0.636,0.7887,0.7388,0.2267,0.5957,2,6.86
Hybrid+Iter,Q048,What does error code MAC_BSR_TIMEOUT_064 indicate and what caused it?,error_code,easy,S08,0.7045,1.0,0.8548,0.2916,0.6047,2,5.3
Hybrid+Iter,Q049,What is the root cause of the failure affecting UE2?,root_cause,medium,S09,0.6927,0.7603,0.4806,0.4964,0.5842,2,4.12
Hybrid+Iter,Q050,What error occurred in the IPSec module and what were its downstream effects?,failure_tracing,medium,S09,0.6939,0.9292,0.8416,0.3092,0.5556,2,5.16
Hybrid+Iter,Q051,Trace the complete chain of events from transport_sctp.log to cu_up_gtpu.log that led to the ipsec tunnel failure on midhaul.,multi_hop,hard,S09,0.4379,0.3824,0.5082,0.2745,0.4787,3,9.25
Hybrid+Iter,Q052,What events occurred during the ipsec tunnel failure on midhaul incident and in what order?,temporal,medium,S09,0.5196,0.515,0.8785,0.3226,0.6193,2,6.99
Hybrid+Iter,Q053,What was the impact of the ipsec tunnel failure on midhaul on user equipment and network services?,impact_analysis,medium,S09,0.8097,0.7333,0.6233,0.4199,0.5379,1,2.67
Hybrid+Iter,Q054,What does error code F1AP_MSG_DECODE_ERR_018 indicate and what caused it?,error_code,easy,S09,0.8456,0.8115,0.5998,0.3286,0.7172,1,2.9
Hybrid+Iter,Q055,What is the root cause of the failure affecting UE40?,root_cause,medium,S10,0.8485,0.5623,0.8377,0.4336,0.5728,2,4.85
Hybrid+Iter,Q056,What error occurred in the AMF module and what were its downstream effects?,failure_tracing,medium,S10,0.9479,0.8411,0.6221,0.5969,0.6005,3,10.2
Hybrid+Iter,Q057,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the amf overload causing registration delays.,multi_hop,hard,S10,0.4498,0.6414,0.6377,0.0,0.5857,3,9.35
Hybrid+Iter,Q058,What events occurred during the amf overload causing registration delays incident and in what order?,temporal,medium,S10,0.3617,0.5149,0.6235,0.1478,0.603,3,7.62
Hybrid+Iter,Q059,What was the impact of the amf overload causing registration delays on user equipment and network services?,impact_analysis,medium,S10,0.8654,0.893,0.6303,0.3325,0.5002,2,5.96
Hybrid+Iter,Q060,What does error code AMF_REG_REJECT_091 indicate and what caused it?,error_code,easy,S10,0.7029,0.6523,0.7804,0.4013,0.7303,2,4.39
Hybrid+Iter,Q061,Which failures affected multiple UEs simultaneously and what was the common cause?,cross_scenario,hard,"S02,S06,S08,S10",0.3669,0.5075,0.5821,0.2575,0.4639,1,2.61
Hybrid+Iter,Q062,Compare the transport-layer failures: how does SCTP association failure differ from GTP-U path failure in terms of impact?,cross_scenario,hard,"S02,S06",0.4237,0.4723,0.7294,0.3513,0.4737,1,3.57
Hybrid+Iter,Q063,What are all the scenarios where packet loss or data loss occurred and what were the root causes?,cross_scenario,hard,"S01,S03,S06",0.5495,0.4615,0.6698,0.3306,0.4869,2,5.06
Hybrid+Iter,Q064,"Did any UE recover successfully after a failure, and if so, how long did the service interruption last?",cross_scenario,medium,"S03,S06,S07,S09",0.6408,0.4751,0.666,0.6271,0.7742,3,10.08
Hybrid+Iter,Q065,"Was the UE7 failure related to the SCTP transport failure, or were they independent events?",contrastive,medium,"S01,S02",0.27,0.5589,0.5217,0.2186,0.6062,2,7.17
Full-System,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.7413,0.5016,0.9105,0.1933,0.6724,2,10.33
Full-System,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.5144,0.725,0.9616,0.6419,0.5842,2,6.95
Full-System,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.648,0.909,0.4728,0.3175,0.5545,2,11.73
Full-System,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.805,0.6867,0.8393,0.3107,0.6953,3,11.37
Full-System,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.7636,0.8035,0.8359,0.5337,0.6549,2,8.88
