config,query_id,query_type,keyword_accuracy,semantic_similarity,rouge_l,structured_score,composite_score
Full-System,Q006,error_code,0.6364,0.6092,0.6566,0.7732,0.672
Full-System,Q007,root_cause,0.4594,0.6359,0.4286,0.458,0.5146
Full-System,Q008,failure_tracing,0.5373,0.4987,0.4842,0.7019,0.5626
Full-System,Q009,multi_hop,0.4185,0.2405,0.3387,0.6437,0.4078
Full-System,Q010,temporal,0.4841,0.5072,0.5749,0.6833,0.5701
Full-System,Q011,impact_analysis,0.2699,0.5692,0.3571,0.7606,0.5393
Full-System,Q012,error_code,0.5984,0.8052,0.7121,0.4562,0.6509
Full-System,Q013,root_cause,0.2325,0.3591,0.2662,0.6934,0.4218
Full-System,Q014,failure_tracing,0.2206,0.4647,0.2438,0.6302,0.4335
Full-System,Q015,multi_hop,0.1642,0.1061,0.3417,0.5431,0.2931
Full-System,Q016,temporal,0.06,0.2927,0.1808,0.7919,0.3852
Full-System,Q017,impact_analysis,0.0,0.0,0.0983,0.6041,0.2009
Full-System,Q018,error_code,0.2837,0.3658,0.4958,0.4869,0.4158
Full-System,Q019,root_cause,0.3639,0.561,0.4495,0.8092,0.5836
Full-System,Q020,failure_tracing,0.5322,0.4893,0.3864,0.7844,0.5637
Full-System,Q021,multi_hop,0.4006,0.5414,0.2682,0.5391,0.4649
Full-System,Q022,temporal,0.4823,0.5857,0.5524,0.5181,0.5433
Full-System,Q023,impact_analysis,0.4065,0.1442,0.3582,0.437,0.3142
Full-System,Q024,error_code,0.624,0.3823,0.1811,0.7421,0.4863
Full-System,Q025,root_cause,0.3434,0.4715,0.3562,0.8284,0.5363
Full-System,Q026,failure_tracing,0.1627,0.4241,0.4539,0.4111,0.387
Full-System,Q027,multi_hop,0.368,0.4667,0.2255,0.5856,0.4393
Full-System,Q028,temporal,0.493,0.516,0.5147,0.6268,0.5455
Full-System,Q029,impact_analysis,0.2164,0.4546,0.3933,0.9432,0.5532
Full-System,Q030,error_code,0.2739,0.3765,0.2284,0.6569,0.4156
Full-System,Q031,root_cause,0.0,0.1537,0.2943,0.5775,0.2859
Full-System,Q032,failure_tracing,0.4487,0.4514,0.3678,0.7278,0.5172
Full-System,Q033,multi_hop,0.388,0.4639,0.3302,0.8698,0.5475
Full-System,Q034,temporal,0.1356,0.2286,0.2264,0.7178,0.361
Full-System,Q035,impact_analysis,0.3299,0.2522,0.3556,0.4617,0.3474
Full-System,Q036,error_code,0.6883,0.7617,0.5076,0.7239,0.6885
Full-System,Q037,root_cause,0.3074,0.5671,0.4792,0.6577,0.5378
Full-System,Q038,failure_tracing,0.5295,0.5399,0.4161,0.8407,0.6038
Full-System,Q039,multi_hop,0.4159,0.4156,0.2873,0.7198,0.4813
Full-System,Q040,temporal,0.381,0.3831,0.2723,0.4035,0.3667
Full-System,Q041,impact_analysis,0.0232,0.206,0.1628,0.6565,0.3051
Full-System,Q042,error_code,0.5104,0.6704,0.558,0.5914,0.6002
Full-System,Q043,root_cause,0.433,0.486,0.47,0.8109,0.5723
Full-System,Q044,failure_tracing,0.18,0.3732,0.237,0.4711,0.3463
Full-System,Q045,multi_hop,0.0856,0.1279,0.2392,0.7067,0.3175
Full-System,Q046,temporal,0.3459,0.5268,0.3835,0.831,0.5623
Full-System,Q047,impact_analysis,0.2614,0.3487,0.4047,0.6142,0.4265
Full-System,Q048,error_code,0.5373,0.4994,0.524,0.6814,0.5646
Full-System,Q049,root_cause,0.3089,0.4782,0.3751,0.6143,0.473
Full-System,Q050,failure_tracing,0.3952,0.7737,0.6086,0.7284,0.6703
Full-System,Q051,multi_hop,0.2412,0.4081,0.4196,0.6977,0.4723
Full-System,Q052,temporal,0.2838,0.4234,0.3102,0.6079,0.4352
Full-System,Q053,impact_analysis,0.4705,0.1518,0.3548,0.5467,0.3587
Full-System,Q054,error_code,0.4038,0.6834,0.4685,0.4417,0.526
Full-System,Q055,root_cause,0.1909,0.3586,0.1793,0.691,0.3973
Full-System,Q056,failure_tracing,0.4424,0.5504,0.5379,0.5014,0.517
Full-System,Q057,multi_hop,0.3878,0.4868,0.2646,0.7252,0.499
Full-System,Q058,temporal,0.5056,0.6156,0.5365,0.6202,0.5847
Full-System,Q059,impact_analysis,0.4562,0.5735,0.615,0.5772,0.5653
Full-System,Q060,error_code,0.9087,0.8119,0.5984,0.4898,0.6871
Full-System,Q061,cross_scenario,0.3049,0.4447,0.4658,0.5816,0.469
Full-System,Q062,cross_scenario,0.1099,0.2876,0.1896,0.5398,0.317
Full-System,Q063,cross_scenario,0.1106,0.3518,0.1,0.8121,0.4034
Full-System,Q064,cross_scenario,0.2988,0.3494,0.3965,0.4295,0.3753
Full-System,Q065,contrastive,0.4681,0.6111,0.5378,0.6776,0.595
